key,x,y
AJUNTAMENT DE GUALBA (NUCLI URBÀ CAN PLA) AJUNTAMENT DE GUALBA - NUCLI URBÀ DE CAN PLA (SORTIDA DEPURADORA),461448.0,4618600.0
"EXPLOTACIONES AGRICOLAS Y FORESTALES BRUGAROL, SA  -CELLER- EXPLOTACIONES AGRICOLAS Y FORESTALES BRUGAROL, SA (SORTIDA DEPURADORA EMPRESA)",509058.42,4636418.14
CASA CAL FAINÉ TORRENT DEL RUBIO (afluent del riu Llobregat),405756.1,4615095.89
AJUNTAMENT DE SANT CUGAT AJUNTAMENT DE SANT CUGAT DEL VALLÈS (RIERA DE VOLPALLERES),422396.96,4593618.73
COMUNITAT USUARIS ABOCAMENT EDAR FAR EMPORDA COMUNITAT D'USUARIS ABOCAMENT EDAR FAR D'EMPORDÀ (SORTIDA DEPURADORA),500154.71,4676796.27
"AGROMONISTROLET, SL - CELLER EL MOLÍ ABOCAMENT 1 (AGROMONISTROLET, SL) INFILTRACIÓ SUBSÒL",398570.13,4621126.95
"DEP.TREBALL, AFERS SOCIALS I FAMÍLIES (RESIDÈNCIA DE GENT GRAN DE TERRASSA) 021999005068 - AB 1",419835.0,4603747.0
"GERMANS MONTSANT, SC (RESTAURANT BELL-LLOC) GERMANS MONTSAN, SC (SORTIDA TRACTAMENT)",459546.26,4625051.5
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU -MAÇANET- (SORT. TRACTAMENT)",478916.3,4625991.35
"G&P LA ROQUETA 21, S.L. AA2003000015 ASSE-INM-FARMA (Golf la Roqueta, Castellgalí)",403106.1,4615545.91
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (PEATG. MAÇANET)",478915.3,4625991.35
"CULUBRET MELCIÓ, ENRIQUETA -MAS MOLINÀS- ENRIQUETA CULUBRET MELCIÓ (SORTIDA TRACTAMENT)",479428.48,4649827.39
"AUTOPISTES DE CATALUNYA, SA AUTOPISTES DE CATALUNYA, SA (PEATGE CUBELLES)- SORTIDA DEPURADORA",387558.67,4562463.95
JUNTA DE COMPENSACIO PLA PARCIAL SECTOR LA GOBA DE VIDRERES ABOC. JUNTA COMPENSACIO PLA PARCIAL SECTOR LA GOBA DE VIDRERES - RIERA RECLAR,483906.31,4626845.32
"GARVE , SA 022001000236 - AB 1",387905.94,4597796.0
"INSTITUTO GRIFOLS, SA (II) INSTITUTO GRÍFOLS, SA (SORTIDA RESIDUALS)",436978.05,4602859.64
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU - PEATGE DE LA BISBAL DEL PENEDÈS AUTOPISTAS CONCESIONARIAS ESPAÑOLA, SAU (PEATGE ALBORNAR)",374233.71,4570917.06
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (PK 126,4), SORTIDA DEPURADORA",444558.09,4605389.58
CENTRE DE TELECOMUNICACIONS A MONISTROL DE MONTSERRAT AA2003002170 MONTSERRAT,401325.03,4606563.91
