id,name_ci,name_ind,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete,conca
247,pt0500,pt162,41.56823531,2.105010899,425379.8238,4602226.407,,,,,yes,besos
248,pt0502,pt164,41.60135735,2.076679779,423057.0132,4605928.571,EDAR CASTELLAR DEL VALLÈS,ES9080510004010E,291,,no,besos
249,pt0504,pt166,41.64434296,2.056018884,421387.4931,4610719.607,,,,,yes,besos
250,pt0506,pt168,41.67377634,2.057332975,421532.6688,4613986.223,EDAR SANT LLORENÇ SAVALL,ES9082230001010E,,,no,besos
251,pt0508,pt170,41.52101708,2.173519676,431041.6746,4596927.231,,,296,,no,besos
252,pt0510,pt172,41.4923859,2.193014708,432638.6069,4593733.207,,,605,,no,besos
253,pt0512,pt174,41.53181179,2.221238805,435034.0054,4598088.695,,,301,,no,besos
254,pt0514,pt176,41.54301405,2.234158449,436122.8228,4599322.749,EDAR MONTORNÈS DEL VALLÈS,ES9081360001010E,302,,no,besos
255,pt0516,pt178,41.52249715,2.197860659,433074.1339,4597072.414,,,,,yes,besos
256,pt0518,pt180,41.57464666,2.17544843,431259.4381,4602879.73,,,,,yes,besos
257,pt0520,pt182,41.64315468,2.155400075,429662.5058,4610501.833,,,,,yes,besos
258,pt0522,pt184,41.58624535,2.245839677,437139.0525,4604113.785,,,304,,no,besos
259,pt0524,pt186,41.65220354,2.233738211,436195.4107,4611445.522,,,,,yes,besos
260,pt0526,pt188,41.69248801,2.196624464,433146.7217,4615946.192,EDAR SANT FELIU DE CODINES,ES9082100001010E,,,no,besos
261,pt0528,pt190,41.70355936,2.190379645,432638.6069,4617180.247,,,,,yes,besos
262,pt0530,pt192,41.73076649,2.155126169,429735.0937,4620229.088,,,308,,no,besos
263,pt0532,pt194,41.56570719,2.307018829,442220.2006,4601790.859,EDAR VILANOVA DEL VALLÈS,ES9081810001010E,315,,no,besos
264,pt0534,pt196,41.59858236,2.338023895,444833.3626,4605420.431,,,608,,no,besos
265,pt0536,pt198,41.61636342,2.360494806,446720.6462,4607380.401,"EDAR ROCA DEL VALLÈS, LA",ES9080460001010E,317,,no,besos
266,pt0538,pt200,41.6555773,2.357491686,446502.8827,4611735.888,,,,,yes,besos
267,pt0540,pt202,41.63219734,2.386482472,448898.2811,4609122.595,,,609,,no,besos
268,pt0542,pt204,41.64675323,2.419467788,451656.6187,4610719.607,,,323,,no,besos
269,pt0544,pt206,41.66044786,2.412369982,451075.9161,4612244.028,EDAR SANT ANTONI DE VILAMAJOR,ES9081980007010E,322,,no,besos
270,pt0546,pt208,41.56816495,2.394924161,449551.5716,4602008.633,,,,,yes,besos
271,pt0548,pt210,41.6031098,2.45296023,454414.9563,4605855.98,,,326,,no,besos
272,pt0550,pt212,41.6142044,2.607945779,467335.5902,4607017.443,,,,,yes,besos
273,pt0552,pt214,41.70799446,2.705096337,475465.4273,4617398.021,,,359,,no,besos
274,pt0554,pt216,41.77190706,2.647161724,470674.6305,4624511.983,,,,,yes,besos
275,pt0556,pt218,41.80486476,2.748343168,479094.8189,4628141.556,EDAR SILS-VIDRERES,ES9171930002010E,364,,no,besos
276,pt0558,pt220,41.82585837,2.783224898,481998.3322,4630464.483,EDAR CALDES DE MALAVELLA,ES9170330001010E,365,,no,besos
277,pt0560,pt222,41.81007348,2.532473852,461165.6246,4628794.879,,,347,,no,besos
278,pt0562,pt224,41.81971374,2.493073206,457899.1722,4629883.751,,,,26,no,besos
279,pt0564,pt226,41.73060964,2.614221236,467916.2929,4619938.722,,,351,,no,besos
280,pt0566,pt228,41.72730188,2.602895153,466972.6511,4619575.765,,,611,,no,besos
